ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
4843,96,XD471,2.4,2026-06-10,"Customer ID: XD471
Customer Company: Carter PLCSmart Home Installer
Customer Location: Danielton, United States
Product Info: Amazon Devices Smart Lighting Indoor (Category: Smart Lighting)
Manufacturer: Amazon Devices
Product Price: 1219.2
Rating: 2.4 stars
Review Date: 2026-06-10
Review Content: ""This product has serious issues. It has unclear video quality, and I have already requested a return.""",82,Smart Lighting,Amazon Devices Smart Lighting Indoor,Carter PLCSmart Home Installer
3428,79,JO978,4.0,2026-06-10,"Customer ID: JO978
Customer Company: Bird, Hardin and RodriguezTechnology Startup
Customer Location: Meganfort, United States
Product Info: Ring Smart Camera Premium (Category: Smart Camera)
Manufacturer: Ring
Product Price: 8967.91
Rating: 4.0 stars
Review Date: 2026-06-10
Review Content: ""The firmware auto-updates feature is especially helpful, making it very convenient for apartment living.""",80,Smart Camera,Ring Smart Camera Premium,"Bird, Hardin and RodriguezTechnology Startup"
4198,95,XW166,2.1,2026-06-10,"Customer ID: XW166
Customer Company: Phillips, Larson and JonesOnline Marketplace Seller
Customer Location: Monicafort, United States
Product Info: Google Nest Smart Display Max (Category: Smart Display)
Manufacturer: Google Nest
Product Price: 1408.6
Rating: 2.1 stars
Review Date: 2026-06-10
Review Content: ""I am not satisfied with this Smart Display. It has average build quality, and it does not feel worth the money.""",89,Smart Display,Google Nest Smart Display Max,"Phillips, Larson and JonesOnline Marketplace Seller"
520,96,FR131,3.4,2026-06-10,"Customer ID: FR131
Customer Company: Brown, Johnston and PenaE-commerce Company
Customer Location: North Caleb, United States
Product Info: Amazon Devices Smart Lighting Indoor (Category: Smart Lighting)
Manufacturer: Amazon Devices
Product Price: 1219.2
Rating: 3.4 stars
Review Date: 2026-06-10
Review Content: ""Based on my experience, This product Amazon Devices Smart Lighting Indooris decent overall.the good battery life is a nice touch.Also, one drawback is its slow customer support.I would recommend it to anyone looking for a smart home device.""",114,Smart Lighting,Amazon Devices Smart Lighting Indoor,"Brown, Johnston and PenaE-commerce Company"
904,46,JJ935,1.5,2026-06-10,"Customer ID: JJ935
Customer Company: Banks, Andrews and HickmanSmall Business
Customer Location: Scottport, United States
Product Info: Ring Smart Lock Ultra (Category: Smart Lock)
Manufacturer: Ring
Product Price: 6269.37
Rating: 1.5 stars
Review Date: 2026-06-10
Review Content: ""To be honest, This Smart Lockhas serious issues.It did not work properly during while cooking.I probably would not buy from this brand again.""",91,Smart Lock,Ring Smart Lock Ultra,"Banks, Andrews and HickmanSmall Business"
685,54,UV185,1.6,2026-06-09,"Customer ID: UV185
Customer Company: Travis LLCAppliance Retailer
Customer Location: East Sherri, United States
Product Info: Ecobee Home Hub Outdoor (Category: Home Hub)
Manufacturer: Ecobee
Product Price: 5078.09
Rating: 1.6 stars
Review Date: 2026-06-09
Review Content: ""From my experience, This Home Huboffers poor value for the money.The problem with battery life is very frustrating.I would not recommend it to other buyers.""",91,Home Hub,Ecobee Home Hub Outdoor,Travis LLCAppliance Retailer
788,34,WQ694,4.3,2026-06-09,"Customer ID: WQ694
Customer Company: Adkins-ChenAppliance Retailer
Customer Location: Lake Clayton, United States
Product Info: Arlo Smart TV Plus (Category: Smart TV)
Manufacturer: Arlo
Product Price: 2893.75
Rating: 4.3 stars
Review Date: 2026-06-09
Review Content: ""The Google Assistant support feature is especially helpful, making it very convenient for home security.""",78,Smart TV,Arlo Smart TV Plus,Adkins-ChenAppliance Retailer
1184,29,AY360,3.7,2026-06-09,"Customer ID: AY360
Customer Company: Thompson LLCSecurity Service Provider
Customer Location: Josefort, United States
Product Info: Honeywell Home Security System Pro (Category: Security System)
Manufacturer: Honeywell Home
Product Price: 515.38
Rating: 3.7 stars
Review Date: 2026-06-09
Review Content: ""In my opinion, This product Honeywell Home Security System Prois okay for the price.when using it while traveling, the smart scheduling feature worked fairly well.What I liked most is that I noticed some issues with Wi-Fi connectivity.It is a little expensive, but the quality is good.""",120,Security System,Honeywell Home Security System Pro,Thompson LLCSecurity Service Provider
2116,30,ZY562,5.0,2026-06-09,"Customer ID: ZY562
Customer Company: Fox-GreenProperty Management Company
Customer Location: Robertmouth, United States
Product Info: GE Appliances Smart Lock Standard (Category: Smart Lock)
Manufacturer: GE Appliances
Product Price: 8350.62
Rating: 5.0 stars
Review Date: 2026-06-09
Review Content: ""The automation routines feature on this Smart Lock is very useful, and it also has easy setup.""",82,Smart Lock,GE Appliances Smart Lock Standard,Fox-GreenProperty Management Company
3699,85,EO425,2.2,2026-06-09,"Customer ID: EO425
Customer Company: Fields-HarrisHome Automation Company
Customer Location: Johnnyhaven, United States
Product Info: Wyze Smart Thermostat Max (Category: Smart Thermostat)
Manufacturer: Wyze
Product Price: 9824.36
Rating: 2.2 stars
Review Date: 2026-06-09
Review Content: ""This product has serious issues. It has difficult installation, and I have already requested a return.""",80,Smart Thermostat,Wyze Smart Thermostat Max,Fields-HarrisHome Automation Company
