productId:ID(Product),ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName,labels:LABEL
15,Eufy Smart Speaker Essential,13,1,4-pack,2722.55,544,17,43,0,Smart Speaker,Eufy,Product
27,Belkin Wemo Smart Speaker Outdoor,15,1,1 bundle,9783.21,398,13,33,0,Smart Speaker,Belkin Wemo,Product
40,TP-Link Kasa Smart Speaker Pro,14,1,4-pack,3817.23,280,177,44,0,Smart Speaker,TP-Link Kasa,Product
49,GE Appliances Smart Speaker Standard,6,1,1 unit per box,7367.78,286,120,61,0,Smart Speaker,GE Appliances,Product
55,Honeywell Home Smart Speaker Plus,8,1,1 unit per box,374.52,991,3,80,0,Smart Speaker,Honeywell Home,Product
68,Arlo Smart Speaker Premium,11,1,1 starter kit,5196.15,80,158,20,0,Smart Speaker,Arlo,Product
77,Ring Smart Speaker Plus,10,1,1 unit per box,208.26,952,30,21,0,Smart Speaker,Ring,Product
87,Ring Smart Speaker Plus,10,1,2 units per pack,4104.32,947,66,82,0,Smart Speaker,Ring,Product
90,Wyze Smart Speaker Essential,12,1,1 replacement unit,5222.53,196,34,87,0,Smart Speaker,Wyze,Product
92,TP-Link Kasa Smart Speaker Outdoor,14,1,3-pack,1248.27,525,174,13,0,Smart Speaker,TP-Link Kasa,Product
8,Arlo Smart Display Max,11,2,6-pack,3142.43,117,24,23,0,Smart Display,Arlo,Product
38,GE Appliances Smart Display Ultra,6,2,3-pack,9404.71,236,161,30,0,Smart Display,GE Appliances,Product
43,Belkin Wemo Smart Display Standard,15,2,1 set per box,2808.17,118,41,35,0,Smart Display,Belkin Wemo,Product
52,Wyze Smart Display Ultra,12,2,1 unit per box,9299.12,713,194,15,0,Smart Display,Wyze,Product
53,Google Nest Smart Display Standard,2,2,1 device with accessories,6853.93,84,21,97,0,Smart Display,Google Nest,Product
61,Ecobee Smart Display Pro,9,2,1 unit per box,8699.12,697,49,36,0,Smart Display,Ecobee,Product
66,Apple Home Smart Display Max,3,2,2 units per pack,1890.93,70,166,83,0,Smart Display,Apple Home,Product
71,Apple Home Smart Display Premium,3,2,4-pack,8350.43,779,4,46,0,Smart Display,Apple Home,Product
93,GE Appliances Smart Display Max,6,2,1 bundle,6390.49,750,44,94,0,Smart Display,GE Appliances,Product
95,Google Nest Smart Display Max,2,2,1 unit per box,1408.6,258,97,26,0,Smart Display,Google Nest,Product
11,Samsung SmartThings Smart Thermostat Pro,4,3,1 bundle,1654.62,16,157,35,0,Smart Thermostat,Samsung SmartThings,Product
33,Arlo Smart Thermostat Max,11,3,1 unit per box,223.04,330,200,93,0,Smart Thermostat,Arlo,Product
44,Honeywell Home Smart Thermostat Outdoor,8,3,2 units per pack,4467.77,361,50,77,0,Smart Thermostat,Honeywell Home,Product
51,Google Nest Smart Thermostat Outdoor,2,3,1 bundle,1758.72,431,187,77,0,Smart Thermostat,Google Nest,Product
58,Ecobee Smart Thermostat Indoor,9,3,1 device with accessories,250.07,772,162,21,1,Smart Thermostat,Ecobee,Product
85,Wyze Smart Thermostat Max,12,3,3-pack,9824.36,754,85,41,0,Smart Thermostat,Wyze,Product
97,Eufy Smart Thermostat Ultra,13,3,4-pack,1668.64,907,51,60,0,Smart Thermostat,Eufy,Product
7,Apple Home Smart Doorbell Outdoor,3,4,1 device with accessories,6683.57,376,46,21,0,Smart Doorbell,Apple Home,Product
23,LG Electronics Smart Doorbell Plus,5,4,2 units per pack,6055.12,105,197,51,0,Smart Doorbell,LG Electronics,Product
42,Google Nest Smart Doorbell Essential,2,4,6-pack,9592.1,380,83,93,0,Smart Doorbell,Google Nest,Product
50,Belkin Wemo Smart Doorbell Mini,15,4,1 bundle,4946.77,997,146,46,0,Smart Doorbell,Belkin Wemo,Product
60,Wyze Smart Doorbell Essential,12,4,4-pack,4787.81,221,141,84,0,Smart Doorbell,Wyze,Product
63,Arlo Smart Doorbell Outdoor,11,4,1 starter kit,1523.79,536,74,68,1,Smart Doorbell,Arlo,Product
