OrderID,ProductID,UnitPrice,Quantity,Discount,ProductName,QuantityPerUnit
1,55,365.69,3,0.2,Honeywell Home Smart Speaker Plus,1 unit per box
2,12,1829.44,10,0.15,Honeywell Home Home Hub Indoor,1 replacement unit
2,76,9808.25,7,0.1,Arlo Smart Lighting Outdoor,1 starter kit
2,92,1275.78,9,0.15,TP-Link Kasa Smart Speaker Outdoor,3-pack
3,12,1730.54,1,0.0,Honeywell Home Home Hub Indoor,1 replacement unit
3,32,8123.1,15,0.15,LG Electronics Home Hub Ultra,2 units per pack
4,17,1037.31,20,0.05,Honeywell Home Streaming Device Premium,1 bundle
4,28,637.88,8,0.15,Samsung SmartThings Smart Lighting Standard,4-pack
4,91,6586.08,11,0.05,Ring Smart Lighting Premium,3-pack
4,95,1372.1,18,0.2,Google Nest Smart Display Max,1 unit per box
5,89,4115.12,20,0.2,Ring Home Hub Pro,1 starter kit
6,92,1296.83,20,0.15,TP-Link Kasa Smart Speaker Outdoor,3-pack
7,69,1965.29,16,0.2,Honeywell Home Air Purifier Indoor,1 bundle
8,4,3551.68,1,0.1,Ecobee Home Hub Max,6-pack
8,76,10027.6,9,0.1,Arlo Smart Lighting Outdoor,1 starter kit
9,35,5453.54,5,0.2,TP-Link Kasa Air Purifier Max,1 device with accessories
9,39,613.09,1,0.2,Eufy Smart Plug Standard,1 replacement unit
9,56,7806.5,19,0.0,LG Electronics Streaming Device Outdoor,1 device with accessories
9,97,1643.94,11,0.2,Eufy Smart Thermostat Ultra,4-pack
10,6,252.24,13,0.2,GE Appliances Smart Plug Essential,1 bundle
10,9,9528.57,11,0.15,Philips Hue Streaming Device Essential,6-pack
10,67,5305.03,12,0.15,Arlo Smart Doorbell Plus,1 starter kit
10,76,9967.95,4,0.2,Arlo Smart Lighting Outdoor,1 starter kit
11,21,7192.96,3,0.1,Philips Hue Robot Vacuum Ultra,6-pack
11,83,9431.4,18,0.2,GE Appliances Streaming Device Indoor,3-pack
12,24,7781.84,13,0.2,Ring Robot Vacuum Standard,1 starter kit
13,21,6728.82,8,0.2,Philips Hue Robot Vacuum Ultra,6-pack
13,25,1366.4,9,0.0,Samsung SmartThings Smart Camera Essential,1 device with accessories
13,98,1601.3,5,0.1,Ring Smart Plug Indoor,4-pack
14,18,5666.38,18,0.2,Arlo Smart Lock Ultra,1 replacement unit
14,40,3869.7,15,0.15,TP-Link Kasa Smart Speaker Pro,4-pack
14,47,8098.56,1,0.1,Arlo Smart Camera Mini,1 bundle
14,94,9858.96,9,0.0,GE Appliances Robot Vacuum Standard,1 unit per box
15,3,3365.0,13,0.2,Arlo Smart Sensor Indoor,1 bundle
15,29,530.33,6,0.05,Honeywell Home Security System Pro,1 starter kit
15,34,2910.54,15,0.0,Arlo Smart TV Plus,1 starter kit
15,64,926.19,8,0.15,Google Nest Smart Lock Pro,1 replacement unit
16,97,1599.66,12,0.0,Eufy Smart Thermostat Ultra,4-pack
17,2,839.46,1,0.15,Samsung SmartThings Smart Sensor Plus,1 set per box
17,21,6983.37,9,0.0,Philips Hue Robot Vacuum Ultra,6-pack
17,43,2680.71,8,0.1,Belkin Wemo Smart Display Standard,1 set per box
17,55,385.51,2,0.15,Honeywell Home Smart Speaker Plus,1 unit per box
17,94,9656.12,3,0.05,GE Appliances Robot Vacuum Standard,1 unit per box
18,47,8225.41,5,0.0,Arlo Smart Camera Mini,1 bundle
18,85,9583.25,11,0.15,Wyze Smart Thermostat Max,3-pack
19,53,7023.03,4,0.15,Google Nest Smart Display Standard,1 device with accessories
20,45,5377.66,1,0.0,Belkin Wemo Smart Plug Plus,1 replacement unit
20,55,391.58,2,0.0,Honeywell Home Smart Speaker Plus,1 unit per box
20,80,8071.43,9,0.0,Ring Streaming Device Mini,1 device with accessories
20,92,1213.68,17,0.2,TP-Link Kasa Smart Speaker Outdoor,3-pack
21,27,9409.65,12,0.05,Belkin Wemo Smart Speaker Outdoor,1 bundle
21,42,9434.69,11,0.15,Google Nest Smart Doorbell Essential,6-pack
21,56,8344.38,20,0.05,LG Electronics Streaming Device Outdoor,1 device with accessories
21,76,9861.66,7,0.0,Arlo Smart Lighting Outdoor,1 starter kit
22,67,4996.8,13,0.2,Arlo Smart Doorbell Plus,1 starter kit
23,86,5191.94,14,0.15,Ring Security System Premium,1 replacement unit
23,98,1652.66,16,0.0,Ring Smart Plug Indoor,4-pack
24,66,1863.67,1,0.2,Apple Home Smart Display Max,2 units per pack
25,46,6572.61,14,0.0,Ring Smart Lock Ultra,4-pack
25,55,368.35,16,0.1,Honeywell Home Smart Speaker Plus,1 unit per box
25,76,10014.54,16,0.15,Arlo Smart Lighting Outdoor,1 starter kit
25,84,4605.6,11,0.05,Eufy Smart Doorbell Plus,1 set per box
26,97,1603.06,18,0.1,Eufy Smart Thermostat Ultra,4-pack
27,93,6620.09,12,0.05,GE Appliances Smart Display Max,1 bundle
28,37,2986.27,15,0.15,Google Nest Smart Lighting Mini,1 set per box
28,59,6728.18,1,0.0,Ring Smart Plug Pro,1 bundle
28,61,8426.25,19,0.05,Ecobee Smart Display Pro,1 unit per box
28,72,9663.77,13,0.0,TP-Link Kasa Security System Standard,6-pack
28,77,216.12,1,0.1,Ring Smart Speaker Plus,1 unit per box
29,80,8449.49,1,0.15,Ring Streaming Device Mini,1 device with accessories
30,88,5530.99,16,0.05,Samsung SmartThings Smart TV Ultra,1 device with accessories
31,30,7985.01,1,0.1,GE Appliances Smart Lock Standard,1 replacement unit
31,72,9713.48,19,0.1,TP-Link Kasa Security System Standard,6-pack
32,35,5681.25,3,0.15,TP-Link Kasa Air Purifier Max,1 device with accessories
32,40,3914.11,20,0.2,TP-Link Kasa Smart Speaker Pro,4-pack
32,50,5168.24,13,0.1,Belkin Wemo Smart Doorbell Mini,1 bundle
33,14,2279.14,12,0.05,LG Electronics Smart Lock Indoor,1 starter kit
33,40,3865.79,16,0.1,TP-Link Kasa Smart Speaker Pro,4-pack
34,23,5987.2,11,0.1,LG Electronics Smart Doorbell Plus,2 units per pack
34,42,10062.33,14,0.15,Google Nest Smart Doorbell Essential,6-pack
34,69,1877.32,9,0.05,Honeywell Home Air Purifier Indoor,1 bundle
35,72,10324.21,12,0.05,TP-Link Kasa Security System Standard,6-pack
35,85,10265.72,4,0.05,Wyze Smart Thermostat Max,3-pack
35,87,4098.46,13,0.2,Ring Smart Speaker Plus,2 units per pack
35,94,9734.26,12,0.0,GE Appliances Robot Vacuum Standard,1 unit per box
36,48,7848.68,10,0.15,Samsung SmartThings Air Purifier Indoor,1 device with accessories
36,62,5343.91,1,0.1,Belkin Wemo Smart TV Pro,1 unit per box
37,13,9403.8,2,0.2,Google Nest Smart Lighting Plus,1 set per box
