reviewId:ID(Review),ProductName,CustomerName,Rating,ReviewText,ReviewDate,CategoryName,labels:LABEL
4843,Amazon Devices Smart Lighting Indoor,Carter PLCSmart Home Installer,2.4,"This product has serious issues. It has unclear video quality, and I have already requested a return.",2026-06-10,Smart Lighting,Review
3428,Ring Smart Camera Premium,"Bird, Hardin and RodriguezTechnology Startup",4.0,"The firmware auto-updates feature is especially helpful, making it very convenient for apartment living.",2026-06-10,Smart Camera,Review
4198,Google Nest Smart Display Max,"Phillips, Larson and JonesOnline Marketplace Seller",2.1,"I am not satisfied with this Smart Display. It has average build quality, and it does not feel worth the money.",2026-06-10,Smart Display,Review
520,Amazon Devices Smart Lighting Indoor,"Brown, Johnston and PenaE-commerce Company",3.4,"Based on my experience, This product Amazon Devices Smart Lighting Indooris decent overall.the good battery life is a nice touch.Also, one drawback is its slow customer support.I would recommend it to anyone looking for a smart home device.",2026-06-10,Smart Lighting,Review
904,Ring Smart Lock Ultra,"Banks, Andrews and HickmanSmall Business",1.5,"To be honest, This Smart Lockhas serious issues.It did not work properly during while cooking.I probably would not buy from this brand again.",2026-06-10,Smart Lock,Review
685,Ecobee Home Hub Outdoor,Travis LLCAppliance Retailer,1.6,"From my experience, This Home Huboffers poor value for the money.The problem with battery life is very frustrating.I would not recommend it to other buyers.",2026-06-09,Home Hub,Review
788,Arlo Smart TV Plus,Adkins-ChenAppliance Retailer,4.3,"The Google Assistant support feature is especially helpful, making it very convenient for home security.",2026-06-09,Smart TV,Review
1184,Honeywell Home Security System Pro,Thompson LLCSecurity Service Provider,3.7,"In my opinion, This product Honeywell Home Security System Prois okay for the price.when using it while traveling, the smart scheduling feature worked fairly well.What I liked most is that I noticed some issues with Wi-Fi connectivity.It is a little expensive, but the quality is good.",2026-06-09,Security System,Review
2116,GE Appliances Smart Lock Standard,Fox-GreenProperty Management Company,5.0,"The automation routines feature on this Smart Lock is very useful, and it also has easy setup.",2026-06-09,Smart Lock,Review
3699,Wyze Smart Thermostat Max,Fields-HarrisHome Automation Company,2.2,"This product has serious issues. It has difficult installation, and I have already requested a return.",2026-06-09,Smart Thermostat,Review
