CategoryID,CategoryName,Description,Picture
1,Smart Speaker,Smart Speaker is a key category within the smart home ecosystem. Support huge court over. Already message art individual life whom name. Different must lot win heavy worker factor.,
2,Smart Display,Smart Display is a key category within the smart home ecosystem. Turn available responsibility job true than industry. Middle open plan determine great ask.,
3,Smart Thermostat,Smart Thermostat is a key category within the smart home ecosystem. Cup kitchen total marriage pay particularly yourself million. Course bring state yourself floor.,
4,Smart Doorbell,Smart Doorbell is a key category within the smart home ecosystem. Inside choice capital light. Try go break cover town. Personal discover scene describe.,
5,Smart Camera,Smart Camera is a key category within the smart home ecosystem. Push see show pay record life bag. Teacher represent shoulder meet. There almost television long.,
6,Smart Lock,Smart Lock is a key category within the smart home ecosystem. Sound finally former usually accept remain.,
7,Smart Plug,Smart Plug is a key category within the smart home ecosystem. Every report participant occur history discuss discuss. Girl foot give dark happy hit give site.,
8,Smart Lighting,Smart Lighting is a key category within the smart home ecosystem. Third establish Mr. About example writer charge foreign begin radio someone.,
9,Robot Vacuum,Robot Vacuum is a key category within the smart home ecosystem. Side red media page only act production start. Surface Mr someone hold hear control simple.,
10,Air Purifier,Air Purifier is a key category within the smart home ecosystem. Economy ground partner land. Community money financial development wind reason.,
11,Security System,Security System is a key category within the smart home ecosystem. Southern gun per pattern. Now brother hear loss.,
12,Streaming Device,Streaming Device is a key category within the smart home ecosystem. Story true at court night tend law improve. Model campaign nature deep trip decide lot.,
13,Smart TV,Smart TV is a key category within the smart home ecosystem. Light section look see affect late may. Point focus tend. On word believe window serve.,
14,Home Hub,Home Hub is a key category within the smart home ecosystem. Ahead west development ready soon lawyer. Four others animal and hour. Thousand simple next assume lay.,
15,Smart Sensor,Smart Sensor is a key category within the smart home ecosystem. Heart air middle. Result none want. Color energy treat charge me leg.,
