SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage
1,Amazon Devices,Nicole Gallagher,Business Development Manager,"42468 Williams Bridge
Michaelview, HI 90923",South Melissa,Mississippi,96424,United States,612-933-5510x05525,594-463-1075x8624,http://www.amazondevices.com
2,Google Nest,Alice Lopez,Partnership Manager,"680 Sellers Meadows Apt. 456
Royborough, ID 20060",East Adam,Wyoming,22961,United States,001-881-652-9756x54244,001-392-962-5625x46095,http://www.googlenest.com
3,Apple Home,James Brown,Business Development Manager,"1903 Lewis Cliff Suite 886
West Katherine, CT 42489",South Cassandraburgh,New Hampshire,71457,United States,(914)943-4573x3372,001-556-799-0351x9658,http://www.applehome.com
4,Samsung SmartThings,Donna Schmidt,Channel Sales Manager,"755 Danielle Tunnel
Murraymouth, CO 02738",Petersonstad,Wyoming,69675,United States,431-889-0372,773.943.2965,http://www.samsungsmartthings.com
5,LG Electronics,James Vance,Channel Sales Manager,"4242 Davis Isle Apt. 203
Allisonbury, OH 54028",Lake Vanessa,West Virginia,34245,United States,(893)369-9153,865-953-8466,http://www.lgelectronics.com
6,GE Appliances,Christina Murphy,Business Development Manager,"2378 Hanson Skyway
Michaelmouth, CA 40886",Williamsland,Maryland,35559,United States,001-494-395-3864,001-688-731-5064x0093,http://www.geappliances.com
7,Philips Hue,Robert Smith,Sales Manager,"730 Peterson Garden
Wallacebury, CA 11065",Jonesborough,Iowa,41234,United States,665-840-0062x87229,+1-214-951-2584x7679,http://www.philipshue.com
8,Honeywell Home,Megan Schultz,Account Executive,"441 Francisco Greens
Greenport, VI 59883",Port Daniellehaven,North Dakota,58821,United States,(555)265-7261x8063,245-901-8069,http://www.honeywellhome.com
9,Ecobee,Christine Gill,Vendor Manager,"15323 Smith Pass
Davidtown, GU 66144",North Brian,North Dakota,13539,United States,+1-323-788-4978x2351,411.976.7854x9992,http://www.ecobee.com
10,Ring,Christopher Nguyen,Operations Manager,"293 Melissa Stravenue
Port Taylorton, AK 69807",Saraburgh,Alabama,19027,United States,001-619-598-0056x599,244-225-3458x98912,http://www.ring.com
11,Arlo,Andrea Gutierrez,Account Executive,"591 Moran Cliffs Suite 957
New Hannah, ME 15740",South Dylanmouth,South Carolina,21800,United States,(869)744-7848x547,+1-686-975-0198,http://www.arlo.com
12,Wyze,Austin Stewart,Customer Success Manager,"05651 Nicole Center Suite 506
Moraview, ME 66220",New Spencerchester,Colorado,64941,United States,844.774.5939x13686,273-512-7543x686,http://www.wyze.com
13,Eufy,Amy Hampton,Channel Sales Manager,"3921 Troy Valleys
Port Kristenland, NM 59181",Clarkhaven,Mississippi,35878,United States,001-792-416-8004x98850,994.357.7088x990,http://www.eufy.com
14,TP-Link Kasa,Perry Foster,Partnership Manager,"525 Michael Via Apt. 328
Lake Marvinside, AR 19064",Bryanberg,Illinois,90692,United States,948.889.6580x0127,364-317-0016x183,http://www.tp-linkkasa.com
15,Belkin Wemo,Robert Knight,Partnership Manager,"52722 Hicks Row Apt. 217
Rodriguezshire, KY 48594",Lake Michael,Virginia,37446,United States,+1-774-692-8963,(952)568-9969x16105,http://www.belkinwemo.com
