ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
7,23,DQ379,2.7,2026-05-14,"Customer ID: DQ379
Customer Company: Williams-ClayReal Estate Company
Customer Location: Maryport, United States
Product Info: Belkin Wemo Smart Lock Plus (Category: Smart Lock)
Manufacturer: Belkin Wemo
Product Price: 128.88
Rating: 2.7 stars
Review Date: 2026-05-14
Review Content: ""I would not recommend this Smart Lock. It has unclear video quality, and I was disappointed.""",82,Smart Lock,Belkin Wemo Smart Lock Plus,Williams-ClayReal Estate Company
15,91,FX291,1.3,2026-05-07,"Customer ID: FX291
Customer Company: Robinson-HudsonSecurity Service Provider
Customer Location: New Elijahview, United States
Product Info: Ring Smart TV Premium (Category: Smart TV)
Manufacturer: Ring
Product Price: 4258.18
Rating: 1.3 stars
Review Date: 2026-05-07
Review Content: ""The issue with setup process is very frustrating. It is not worth the price.""",78,Smart TV,Ring Smart TV Premium,Robinson-HudsonSecurity Service Provider
16,74,WX991,3.7,2026-03-29,"Customer ID: WX991
Customer Company: Wood, Berg and WatsonOnline Marketplace Seller
Customer Location: Johntown, United States
Product Info: LG Electronics Smart Lock Standard (Category: Smart Lock)
Manufacturer: LG Electronics
Product Price: 6262.29
Rating: 3.7 stars
Review Date: 2026-03-29
Review Content: ""The quality of this Smart Lock is acceptable. It has long battery life, but the voice assistant integration could be better.""",89,Smart Lock,LG Electronics Smart Lock Standard,"Wood, Berg and WatsonOnline Marketplace Seller"
26,66,IH506,4.5,2026-02-19,"Customer ID: IH506
Customer Company: Flores-MartinFacility Management Company
Customer Location: Benjaminshire, United States
Product Info: Google Nest Smart Doorbell Mini (Category: Smart Doorbell)
Manufacturer: Google Nest
Product Price: 3252.06
Rating: 4.5 stars
Review Date: 2026-02-19
Review Content: ""This Smart Doorbell works really well and has great value for the price. Overall, I am very happy with it.""",86,Smart Doorbell,Google Nest Smart Doorbell Mini,Flores-MartinFacility Management Company
29,85,DQ379,3.0,2026-02-12,"Customer ID: DQ379
Customer Company: Williams-ClayReal Estate Company
Customer Location: Maryport, United States
Product Info: Wyze Home Hub Outdoor (Category: Home Hub)
Manufacturer: Wyze
Product Price: 3005.03
Rating: 3.0 stars
Review Date: 2026-02-12
Review Content: ""After using it for a while, This product Wyze Home Hub Outdoorhas acceptable quality.One thing I liked is its fast response time.In addition, its performance is only average for apartment living.I hope the manufacturer improves these issues.""",107,Home Hub,Wyze Home Hub Outdoor,Williams-ClayReal Estate Company
24,33,RJ729,3.6,2026-02-10,"Customer ID: RJ729
Customer Company: Miller, Meza and ThompsonIT Services Company
Customer Location: New Charles, United States
Product Info: Honeywell Home Smart Plug Pro (Category: Smart Plug)
Manufacturer: Honeywell Home
Product Price: 1580.28
Rating: 3.6 stars
Review Date: 2026-02-10
Review Content: ""After comparing several similar products, This Smart Plugoffers average value for the money.after one month of use, the energy-saving mode feature worked fairly well.However, one drawback is its confusing setup process.I would not really recommend it.""",114,Smart Plug,Honeywell Home Smart Plug Pro,"Miller, Meza and ThompsonIT Services Company"
21,21,VB832,3.5,2026-02-04,"Customer ID: VB832
Customer Company: Holland, Velez and MathewsFacility Management Company
Customer Location: Pottsmouth, United States
Product Info: Google Nest Streaming Device Standard (Category: Streaming Device)
Manufacturer: Google Nest
Product Price: 7565.95
Rating: 3.5 stars
Review Date: 2026-02-04
Review Content: ""This product has both pros and cons. It has fast response time, but also has poor app experience.""",86,Streaming Device,Google Nest Streaming Device Standard,"Holland, Velez and MathewsFacility Management Company"
18,86,DP127,1.2,2025-12-22,"Customer ID: DP127
Customer Company: Steele-RussellHome Improvement Store
Customer Location: Lake Craig, United States
Product Info: Amazon Devices Smart Thermostat Mini (Category: Smart Thermostat)
Manufacturer: Amazon Devices
Product Price: 1860.35
Rating: 1.2 stars
Review Date: 2025-12-22
Review Content: ""I am not satisfied with this Smart Thermostat. It has slow customer support, and it does not feel worth the money.""",88,Smart Thermostat,Amazon Devices Smart Thermostat Mini,Steele-RussellHome Improvement Store
23,32,VX070,1.6,2025-12-09,"Customer ID: VX070
Customer Company: Brown-GarciaSmart Home Installer
Customer Location: South Danny, United States
Product Info: Philips Hue Smart Lock Max (Category: Smart Lock)
Manufacturer: Philips Hue
Product Price: 1709.35
Rating: 1.6 stars
Review Date: 2025-12-09
Review Content: ""The issue with motion detection accuracy is very frustrating. It is not worth the price.""",81,Smart Lock,Philips Hue Smart Lock Max,Brown-GarciaSmart Home Installer
25,92,AZ726,4.6,2025-11-21,"Customer ID: AZ726
Customer Company: Morris, Vasquez and ScottAppliance Retailer
Customer Location: New James, United States
Product Info: LG Electronics Streaming Device Indoor (Category: Streaming Device)
Manufacturer: LG Electronics
Product Price: 4692.06
Rating: 4.6 stars
Review Date: 2025-11-21
Review Content: ""I have to say, This Streaming Devicehas been very reliable.That said, it is especially useful for energy management.It is slightly worse than other brands I have tried.If I had to mention one downside, the instructions could be clearer.You get what you pay for.""",120,Streaming Device,LG Electronics Streaming Device Indoor,"Morris, Vasquez and ScottAppliance Retailer"
2,94,SI442,3.5,2025-10-07,"Customer ID: SI442
Customer Company: Campbell-ThomasConsumer Electronics Store
Customer Location: Caitlinview, United States
Product Info: Ecobee Smart Plug Pro (Category: Smart Plug)
Manufacturer: Ecobee
Product Price: 2894.52
Rating: 3.5 stars
Review Date: 2025-10-07
Review Content: ""As a first-time smart home buyer, This Smart Plughas both pros and cons.the experience during during bad weather was acceptable.Also, some minor problems became noticeable after extended use.The overall experience has been good.""",105,Smart Plug,Ecobee Smart Plug Pro,Campbell-ThomasConsumer Electronics Store
22,74,SE733,2.8,2025-09-23,"Customer ID: SE733
Customer Company: Lee GroupSmart Home Installer
Customer Location: Lake Jerry, United States
Product Info: LG Electronics Smart Lock Standard (Category: Smart Lock)
Manufacturer: LG Electronics
Product Price: 6262.29
Rating: 2.8 stars
Review Date: 2025-09-23
Review Content: ""It stopped working after one week of use. It has unclear video quality, and customer support was slow.""",84,Smart Lock,LG Electronics Smart Lock Standard,Lee GroupSmart Home Installer
1,85,DQ379,1.5,2025-09-14,"Customer ID: DQ379
Customer Company: Williams-ClayReal Estate Company
Customer Location: Maryport, United States
Product Info: Wyze Home Hub Outdoor (Category: Home Hub)
Manufacturer: Wyze
Product Price: 3005.03
Rating: 1.5 stars
Review Date: 2025-09-14
Review Content: ""The issue with setup process is very frustrating. It is not worth the price.""",77,Home Hub,Wyze Home Hub Outdoor,Williams-ClayReal Estate Company
9,18,SE733,1.9,2025-07-21,"Customer ID: SE733
Customer Company: Lee GroupSmart Home Installer
Customer Location: Lake Jerry, United States
Product Info: Belkin Wemo Smart Sensor Pro (Category: Smart Sensor)
Manufacturer: Belkin Wemo
Product Price: 3517.48
Rating: 1.9 stars
Review Date: 2025-07-21
Review Content: ""To be honest, This Smart Sensordoes not work as expected.The problem with setup process is very frustrating.I hope the manufacturer fixes these issues.""",92,Smart Sensor,Belkin Wemo Smart Sensor Pro,Lee GroupSmart Home Installer
17,26,DP127,2.8,2025-07-01,"Customer ID: DP127
Customer Company: Steele-RussellHome Improvement Store
Customer Location: Lake Craig, United States
Product Info: TP-Link Kasa Smart TV Pro (Category: Smart TV)
Manufacturer: TP-Link Kasa
Product Price: 8662.59
Rating: 2.8 stars
Review Date: 2025-07-01
Review Content: ""This product has serious issues. It has limited smart features, and I have already requested a return.""",88,Smart TV,TP-Link Kasa Smart TV Pro,Steele-RussellHome Improvement Store
